iter	Passed	Remaining
1392	43505	18957
1393	43535	18925
1394	43564	18893
1395	43591	18860
1396	43621	18828
1397	43651	18796
1398	43680	18764
1399	43709	18732
1400	43738	18700
1401	43768	18668
1402	43798	18636
1403	43827	18604
1404	43857	18572
1405	43888	18541
1406	43917	18509
1407	43948	18478
1408	43978	18446
1409	44004	18413
1410	44035	18381
1411	44063	18349
1412	44091	18316
1413	44121	18285
1414	44150	18253
1415	44179	18221
1416	44209	18189
1417	44238	18157
1418	44268	18125
1419	44298	18093
1420	44327	18061
1421	44357	18029
1422	44386	17997
1423	44416	17966
1424	44444	17933
1425	44476	17902
1426	44507	17871
1427	44536	17839
1428	44566	17807
1429	44595	17775
1430	44622	17742
1431	44651	17711
1432	44680	17678
1433	44709	17646
1434	44740	17615
1435	44769	17583
1436	44799	17552
1437	44830	17520
1438	44858	17488
1439	44887	17456
1440	44917	17424
1441	44946	17392
1442	44975	17360
1443	45003	17328
1444	45034	17297
1445	45062	17264
1446	45092	17232
1447	45123	17201
1448	45153	17170
1449	45183	17138
1450	45212	17106
1451	45243	17075
1452	45272	17043
1453	45306	17013
1454	45335	16981
1455	45363	16948
1456	45392	16916
1457	45421	16885
1458	45450	16853
1459	45482	16822
1460	45514	16791
1461	45546	16760
1462	45578	16729
1463	45611	16699
1464	45644	16668
1465	45675	16637
1466	45706	16606
1467	45739	16575
1468	45771	16545
1469	45804	16514
1470	45836	16483
1471	45868	16452
1472	45900	16421
1473	45932	16391
1474	45965	16360
1475	45996	16329
1476	46028	16298
1477	46060	16267
1478	46091	16236
1479	46124	16205
1480	46155	16174
1481	46186	16143
1482	46218	16112
1483	46251	16082
1484	46282	16050
1485	46316	16020
1486	46348	15989
1487	46383	15959
1488	46415	15929
1489	46448	15898
1490	46480	15867
1491	46512	15836
1492	46545	15806
1493	46577	15775
1494	46609	15744
1495	46641	15713
1496	46673	15682
1497	46705	15651
1498	46734	15619
1499	46764	15588
1500	46794	15556
1501	46827	15526
1502	46857	15494
1503	46886	15462
1504	46916	15431
1505	46947	15399
1506	46976	15368
1507	47006	15336
1508	47038	15305
1509	47066	15273
1510	47098	15242
1511	47126	15210
1512	47158	15179
1513	47187	15147
1514	47220	15116
1515	47251	15085
1516	47283	15054
1517	47315	15023
1518	47347	14992
1519	47379	14961
1520	47411	14930
1521	47443	14899
1522	47475	14869
1523	47507	14838
1524	47539	14807
1525	47570	14776
1526	47603	14745
1527	47634	14714
1528	47666	14683
1529	47697	14652
1530	47730	14621
1531	47762	14590
1532	47795	14559
1533	47827	14528
1534	47859	14498
1535	47891	14467
1536	47923	14436
1537	47954	14404
1538	47985	14373
1539	48018	14343
1540	48050	14312
1541	48083	14281
1542	48115	14250
1543	48146	14219
1544	48179	14188
1545	48212	14158
1546	48244	14127
1547	48275	14096
1548	48308	14065
1549	48340	14034
1550	48373	14003
1551	48405	13972
1552	48437	13941
1553	48470	13910
1554	48501	13879
1555	48532	13848
1556	48564	13817
1557	48596	13786
1558	48628	13755
1559	48659	13724
1560	48691	13693
1561	48723	13662
1562	48756	13631
1563	48788	13600
1564	48820	13569
1565	48852	13538
1566	48883	13507
1567	48911	13475
1568	48942	13444
1569	48970	13412
1570	49000	13380
1571	49028	13348
1572	49057	13316
1573	49086	13285
1574	49116	13253
1575	49145	13221
1576	49173	13189
1577	49202	13158
1578	49232	13126
1579	49261	13094
1580	49288	13062
1581	49318	13031
1582	49348	12999
1583	49377	12967
1584	49407	12936
1585	49435	12904
1586	49463	12872
1587	49492	12840
1588	49521	12808
1589	49549	12776
1590	49578	12745
1591	49606	12713
1592	49634	12681
1593	49664	12649
1594	49694	12618
1595	49722	12586
1596	49751	12554
1597	49781	12523
1598	49811	12491
1599	49839	12459
1600	49869	12428
1601	49898	12396
1602	49928	12365
1603	49958	12333
1604	49986	12302
1605	50017	12270
1606	50046	12239
1607	50074	12207
1608	50104	12175
1609	50134	12144
1610	50163	12112
1611	50193	12081
1612	50223	12049
1613	50255	12019
1614	50288	11988
1615	50320	11957
1616	50353	11926
1617	50385	11895
1618	50418	11864
1619	50450	11834
1620	50482	11803
1621	50514	11772
1622	50546	11741
1623	50578	11710
1624	50611	11679
1625	50642	11648
1626	50675	11617
1627	50706	11586
1628	50738	11555
1629	50770	11524
1630	50802	11493
1631	50834	11462
1632	50866	11431
1633	50898	11400
1634	50930	11369
1635	50961	11338
1636	50992	11307
1637	51023	11276
1638	51056	11245
1639	51088	11214
1640	51118	11183
1641	51149	11151
1642	51182	11121
1643	51211	11089
1644	51240	11058
1645	51271	11026
1646	51300	10995
1647	51329	10963
1648	51358	10931
1649	51386	10900
1650	51416	10868
1651	51444	10837
1652	51475	10805
1653	51503	10774
1654	51532	10742
1655	51564	10711
1656	51592	10679
1657	51622	10648
1658	51650	10616
1659	51680	10585
1660	51712	10554
1661	51744	10523
1662	51776	10492
1663	51808	10461
